------------ Data File Created By ActiGraph GT3X+ ActiLife v6.11.2 Firmware v1.5.0 date format M/d/yyyy at 100 Hz  Filter Normal -----------,,,,,
Serial Number: MOS2C10156277,,,,,
Start Time 12:04:00,,,,,
Start Date 7/9/2015,,,,,
Epoch Period (hh:mm:ss) 00:00:00,,,,,
Download Time 12:15:34,,,,,
Download Date 7/9/2015,,,,,
Current Memory Address: 0,,,,,
Current Battery Voltage: 4.19     Mode = 12,,,,,
--------------------------------------------------,,,,,
Timestamp,Axis1,Axis2,Axis3,,
1825.1,0.957,-0.023,1.129,,
1825.2,0.84,-0.059,0.984,,
1825.3,0.793,0.02,0.848,,
1825.4,0.816,0.348,1.098,,
1825.5,0.82,0.641,1.859,,START
1825.6,0.863,0.277,2.563,,
1825.7,0.824,-0.402,2.75,,
1825.8,0.582,-0.422,3,,
1825.9,0.156,-0.016,2.633,,
1826,-0.137,0.152,1.859,,
1826.1,-0.301,0.215,1.203,,
1826.2,-0.445,0.316,0.813,,
1826.3,-0.57,0.461,0.574,,
1826.4,-0.57,0.586,0.203,,
1826.5,-0.387,0.566,-0.289,,
1826.6,-0.055,0.547,-0.816,,
1826.7,0.352,0.547,-1.117,,
1826.8,0.75,0.586,-1.109,,
1826.9,1.086,0.594,-0.895,,
1827,1.344,0.492,-0.559,,
1827.1,1.488,0.457,-0.297,,
1827.2,1.453,0.668,-0.047,,
1827.3,1.398,0.855,0.223,,
1827.4,1.301,1.047,0.449,,
1827.5,1.199,1.098,0.465,,
1827.6,1.246,0.688,0.227,,
1827.7,1.352,-0.02,-0.109,,
1827.8,1.254,-0.469,0.016,,
1827.9,1.023,-0.352,0.434,,
1828,0.789,-0.047,0.793,,
1828.1,0.621,0.293,1.051,,
1828.2,0.559,0.441,1.203,,
1828.3,0.926,0.176,0.742,,
1828.4,1.426,-0.191,0.129,,
1828.5,1.438,-0.418,-0.066,,
1828.6,1.246,-0.605,0.375,,
1828.7,1.004,-0.676,0.574,,
1828.8,0.832,-0.723,0.57,,
1828.9,0.742,-0.617,0.352,,
1829,0.676,-0.609,0.066,,
1829.1,0.594,-0.594,-0.172,,
1829.2,0.641,-0.273,0.102,,
1829.3,0.852,-0.035,0.41,,
1829.4,1.121,-0.055,0.563,,
1829.5,1.301,-0.027,0.602,,
1829.6,1.242,0.113,0.293,,
1829.7,0.895,0.266,-0.215,,
1829.8,0.633,0.305,-0.355,,
1829.9,0.609,0.223,-0.313,,
1830,0.73,0.145,-0.223,,
1830.1,0.887,0.145,-0.168,,
1830.2,0.977,0.176,-0.105,,
1830.3,1.023,0.145,-0.109,,
1830.4,0.988,0.18,-0.098,,
1830.5,0.98,0.152,-0.063,,
1830.6,1.004,0.16,-0.098,,
1830.7,1.012,0.191,-0.035,,
1830.8,1.035,0.176,-0.066,,
1830.9,1.012,0.203,-0.039,,
1831,1,0.164,-0.043,,
1831.1,0.996,0.117,-0.031,,
1831.2,1.023,0.082,-0.035,,
1831.3,1.004,0.152,-0.059,,
1831.4,1.023,0.145,-0.094,,
1831.5,0.973,0.238,-0.094,,
1831.6,0.973,0.207,-0.09,,
1831.7,0.957,0.188,-0.035,,
1831.8,0.988,0.141,-0.086,,
1831.9,1,0.195,-0.059,,
1832,0.977,0.242,-0.047,,
1832.1,0.973,0.168,-0.074,,
1832.2,0.969,0.129,-0.051,,
1832.3,0.992,0.063,-0.105,,
1832.4,0.961,0.219,-0.063,,
1832.5,0.945,0.227,-0.09,,
1832.6,0.938,0.184,-0.129,,
1832.7,0.934,0.203,-0.121,,
1832.8,0.938,0.199,-0.125,,
1832.9,0.93,0.203,-0.113,,
1833,0.922,0.199,-0.098,,
1833.1,0.93,0.18,-0.086,,
1833.2,0.949,0.16,-0.066,,
1833.3,0.969,0.156,-0.051,,
1833.4,0.984,0.156,-0.051,,
1833.5,1,0.156,-0.055,,
1833.6,1.008,0.156,-0.059,,
1833.7,1.012,0.145,-0.066,,
1833.8,1.008,0.129,-0.07,,
1833.9,0.992,0.117,-0.074,,
1834,0.977,0.102,-0.086,,
1834.1,0.969,0.102,-0.094,,
1834.2,0.977,0.098,-0.102,,
1834.3,0.98,0.094,-0.105,,
1834.4,0.977,0.098,-0.113,,
1834.5,0.969,0.098,-0.105,,
1834.6,0.969,0.094,-0.102,,
1834.7,0.965,0.09,-0.098,,
1834.8,0.973,0.09,-0.086,,
1834.9,0.977,0.09,-0.078,,
1835,0.984,0.09,-0.07,,
1835.1,0.988,0.082,-0.07,,
1835.2,0.996,0.086,-0.07,,
1835.3,0.996,0.082,-0.066,,
1835.4,0.996,0.082,-0.066,,
1835.5,0.996,0.078,-0.07,,
1835.6,1,0.078,-0.074,,
1835.7,0.992,0.078,-0.082,,
1835.8,0.992,0.074,-0.09,,
1835.9,0.988,0.066,-0.109,,
1836,0.984,0.07,-0.102,,
1836.1,0.992,0.074,-0.094,,
1836.2,0.992,0.09,-0.074,,
1836.3,0.996,0.094,-0.063,,
1836.4,1.004,0.094,-0.059,,
1836.5,1.016,0.094,-0.055,,
1836.6,1.012,0.09,-0.059,,
1836.7,1.004,0.086,-0.07,,
1836.8,0.996,0.094,-0.082,,
1836.9,0.984,0.105,-0.09,,
1837,0.984,0.094,-0.102,,
1837.1,0.977,0.09,-0.09,,
1837.2,0.973,0.09,-0.082,,
1837.3,0.98,0.09,-0.074,,
1837.4,0.984,0.078,-0.078,,
1837.5,0.984,0.09,-0.07,,
1837.6,0.988,0.094,-0.082,,
1837.7,0.984,0.102,-0.078,,
1837.8,0.98,0.109,-0.086,,
1837.9,0.984,0.109,-0.09,,
1838,0.996,0.105,-0.09,,
1838.1,1.004,0.102,-0.07,,
1838.2,1.004,0.109,-0.059,,
1838.3,1.004,0.113,-0.059,,
1838.4,0.992,0.102,-0.063,,
1838.5,0.977,0.102,-0.059,,
1838.6,0.969,0.098,-0.063,,
1838.7,0.961,0.098,-0.07,,
1838.8,0.961,0.109,-0.082,,
1838.9,0.973,0.109,-0.09,,
1839,0.973,0.113,-0.09,,
1839.1,0.973,0.121,-0.102,,
1839.2,0.969,0.125,-0.117,,
1839.3,0.965,0.121,-0.117,,
1839.4,0.965,0.109,-0.113,,
1839.5,0.973,0.102,-0.094,,
1839.6,0.984,0.098,-0.082,,
1839.7,1,0.078,-0.086,,
1839.8,1.012,0.066,-0.074,,
1839.9,1.023,0.066,-0.066,,
1840,1.016,0.09,-0.059,,
1840.1,1.012,0.086,-0.07,,
1840.2,1,0.086,-0.078,,
1840.3,0.988,0.086,-0.07,,
1840.4,0.977,0.078,-0.07,,
1840.5,0.977,0.082,-0.07,,
1840.6,0.988,0.086,-0.066,,
1840.7,0.992,0.086,-0.066,,
1840.8,1,0.082,-0.07,,
1840.9,1,0.086,-0.07,,
1841,0.996,0.09,-0.07,,
1841.1,0.98,0.09,-0.074,,
1841.2,0.98,0.086,-0.086,,
1841.3,0.984,0.082,-0.09,,
1841.4,0.984,0.086,-0.09,,
1841.5,0.977,0.09,-0.094,,
1841.6,0.98,0.09,-0.098,,
1841.7,0.988,0.09,-0.094,,
1841.8,0.996,0.086,-0.09,,
1841.9,0.996,0.086,-0.078,,
1842,0.996,0.09,-0.074,,
1842.1,0.996,0.086,-0.082,,
1842.2,0.988,0.086,-0.086,,
1842.3,0.984,0.09,-0.09,,
1842.4,0.988,0.09,-0.09,,
1842.5,0.988,0.09,-0.086,,
1842.6,0.988,0.09,-0.086,,
1842.7,0.988,0.098,-0.082,,
1842.8,0.988,0.109,-0.086,,
1842.9,0.988,0.113,-0.09,,
1843,0.984,0.113,-0.09,,
1843.1,0.984,0.109,-0.078,,
1843.2,0.98,0.113,-0.078,,
1843.3,0.984,0.109,-0.078,,
1843.4,0.988,0.102,-0.078,,
1843.5,0.992,0.098,-0.07,,
1843.6,0.988,0.098,-0.063,,
1843.7,0.988,0.098,-0.059,,
1843.8,0.984,0.098,-0.063,,
1843.9,0.98,0.098,-0.07,,
1844,0.984,0.094,-0.078,,
1844.1,0.988,0.098,-0.082,,
1844.2,0.992,0.094,-0.086,,
1844.3,1,0.074,-0.09,,
1844.4,1.004,0.07,-0.09,,
1844.5,1.008,0.082,-0.078,,
1844.6,1,0.086,-0.07,,
1844.7,1,0.094,-0.074,,
1844.8,1,0.082,-0.078,,
1844.9,0.996,0.086,-0.078,,
1845,0.984,0.082,-0.086,,
1845.1,0.973,0.086,-0.09,,
1845.2,0.969,0.094,-0.09,,
1845.3,0.969,0.102,-0.09,,
1845.4,0.969,0.102,-0.094,,
1845.5,0.977,0.105,-0.086,,
1845.6,0.988,0.113,-0.082,,
1845.7,0.988,0.113,-0.078,,
1845.8,0.992,0.109,-0.078,,
1845.9,0.992,0.105,-0.086,,
1846,0.996,0.098,-0.086,,
1846.1,0.992,0.09,-0.09,,
1846.2,0.996,0.082,-0.09,,
1846.3,0.996,0.082,-0.09,,
1846.4,1,0.078,-0.09,,
1846.5,0.996,0.078,-0.09,,
1846.6,0.996,0.082,-0.086,,
1846.7,0.996,0.082,-0.086,,
1846.8,0.992,0.086,-0.094,,
1846.9,0.988,0.086,-0.102,,
1847,0.988,0.078,-0.109,,
1847.1,0.992,0.082,-0.113,,
1847.2,0.996,0.078,-0.109,,
1847.3,0.992,0.074,-0.098,,
1847.4,0.992,0.074,-0.094,,
1847.5,0.996,0.078,-0.094,,
1847.6,1,0.074,-0.094,,
1847.7,0.996,0.074,-0.086,,
1847.8,0.996,0.082,-0.082,,
1847.9,0.996,0.09,-0.086,,
1848,0.996,0.094,-0.082,,
1848.1,0.984,0.098,-0.082,,
1848.2,0.988,0.098,-0.082,,
1848.3,0.992,0.098,-0.078,,
1848.4,0.984,0.094,-0.074,,
1848.5,0.98,0.098,-0.074,,
1848.6,0.984,0.094,-0.074,,
1848.7,0.984,0.098,-0.082,,
1848.8,0.988,0.102,-0.094,,
1848.9,0.98,0.098,-0.113,,
1849,0.969,0.094,-0.121,,
1849.1,0.965,0.094,-0.125,,
1849.2,0.961,0.09,-0.117,,
1849.3,0.965,0.082,-0.105,,
1849.4,0.969,0.086,-0.09,,
1849.5,0.973,0.086,-0.074,,
1849.6,0.984,0.074,-0.07,,
1849.7,0.988,0.07,-0.07,,
1849.8,0.988,0.063,-0.074,,
1849.9,0.988,0.063,-0.078,,
1850,0.988,0.063,-0.086,,
1850.1,0.996,0.055,-0.094,,
1850.2,1,0.043,-0.102,,
1850.3,1.004,0.043,-0.105,,
1850.4,1.008,0.039,-0.102,,
1850.5,1.012,0.039,-0.109,,
1850.6,1.008,0.043,-0.109,,
1850.7,0.996,0.047,-0.113,,
1850.8,0.988,0.051,-0.117,,
1850.9,0.98,0.059,-0.113,,
1851,0.973,0.063,-0.117,,
1851.1,0.973,0.066,-0.113,,
1851.2,0.98,0.066,-0.109,,
1851.3,0.98,0.074,-0.102,,
1851.4,0.984,0.086,-0.09,,
1851.5,0.992,0.082,-0.082,,
1851.6,0.996,0.082,-0.078,,
1851.7,0.992,0.086,-0.074,,
1851.8,0.984,0.098,-0.082,,
1851.9,0.977,0.098,-0.09,,
1852,0.973,0.098,-0.102,,
1852.1,0.98,0.094,-0.109,,
1852.2,0.988,0.09,-0.105,,
1852.3,0.992,0.086,-0.105,,
1852.4,0.996,0.078,-0.105,,
1852.5,1,0.066,-0.102,,
1852.6,0.992,0.066,-0.102,,
1852.7,0.992,0.063,-0.098,,
1852.8,0.98,0.074,-0.102,,
1852.9,0.973,0.059,-0.098,,
1853,0.977,0.055,-0.105,,
1853.1,0.98,0.051,-0.109,,
1853.2,0.984,0.059,-0.113,,
1853.3,0.977,0.074,-0.121,,
1853.4,0.969,0.078,-0.141,,
1853.5,0.969,0.082,-0.148,,
1853.6,0.973,0.082,-0.137,,
1853.7,0.977,0.086,-0.117,,
1853.8,0.98,0.078,-0.09,,
1853.9,0.992,0.07,-0.074,,
1854,1.004,0.074,-0.063,,
1854.1,1.012,0.078,-0.051,,
1854.2,1.02,0.07,-0.043,,
1854.3,1.02,0.074,-0.051,,
1854.4,1.012,0.07,-0.059,,
1854.5,1.004,0.07,-0.078,,
1854.6,1,0.074,-0.09,,
1854.7,1,0.078,-0.098,,
1854.8,0.996,0.086,-0.113,,
1854.9,0.996,0.078,-0.125,,
1855,0.992,0.07,-0.129,,
1855.1,0.984,0.066,-0.129,,
1855.2,0.977,0.059,-0.125,,
1855.3,0.965,0.055,-0.117,,
1855.4,0.961,0.059,-0.109,,
1855.5,0.961,0.059,-0.102,,
1855.6,0.973,0.066,-0.094,,
1855.7,0.977,0.066,-0.09,,
1855.8,0.984,0.074,-0.082,,
1855.9,0.992,0.086,-0.078,,
1856,0.996,0.09,-0.074,,
1856.1,1,0.09,-0.074,,
1856.2,1,0.09,-0.074,,
1856.3,1.008,0.082,-0.074,,
1856.4,1.012,0.07,-0.074,,
1856.5,1.008,0.066,-0.082,,
1856.6,1.012,0.063,-0.082,,
1856.7,1.008,0.059,-0.09,,
1856.8,1,0.059,-0.098,,
1856.9,0.984,0.059,-0.109,,
1857,0.977,0.063,-0.121,,
1857.1,0.973,0.063,-0.125,,
1857.2,0.969,0.066,-0.129,,
1857.3,0.969,0.059,-0.125,,
1857.4,0.977,0.059,-0.113,,
1857.5,0.977,0.059,-0.102,,
1857.6,0.988,0.055,-0.09,,
1857.7,0.992,0.074,-0.078,,
1857.8,1,0.102,-0.07,,
1857.9,1.004,0.098,-0.066,,
1858,1.004,0.125,-0.055,,
1858.1,1.008,0.137,-0.055,,
1858.2,1.012,0.125,-0.059,,
1858.3,1.004,0.113,-0.063,,
1858.4,0.996,0.109,-0.066,,
1858.5,0.996,0.09,-0.086,,
1858.6,1,0.055,-0.098,,
1858.7,0.996,0.059,-0.105,,
1858.8,0.988,0.063,-0.117,,
1858.9,0.969,0.066,-0.129,,
1859,0.953,0.07,-0.145,,
1859.1,0.945,0.07,-0.156,,
1859.2,0.949,0.07,-0.164,,
1859.3,0.957,0.074,-0.152,,
1859.4,0.969,0.066,-0.145,,
1859.5,0.984,0.07,-0.137,,
1859.6,0.996,0.066,-0.129,,
1859.7,1,0.066,-0.117,,
1859.8,1.004,0.063,-0.105,,
1859.9,1.008,0.063,-0.098,,
1860,1.008,0.059,-0.098,,
1860.1,1.008,0.074,-0.105,,
1860.2,1.004,0.074,-0.117,,
1860.3,0.996,0.086,-0.129,,
1860.4,0.984,0.082,-0.141,,
1860.5,0.973,0.07,-0.145,,
1860.6,0.977,0.066,-0.137,,
1860.7,0.969,0.063,-0.129,,
1860.8,0.973,0.059,-0.117,,
1860.9,0.98,0.047,-0.109,,
1861,0.988,0.047,-0.105,,
1861.1,0.988,0.043,-0.109,,
1861.2,0.992,0.031,-0.113,,
1861.3,0.996,0.031,-0.121,,
1861.4,1,0.035,-0.125,,
1861.5,1,0.031,-0.133,,
1861.6,1,0.027,-0.133,,
1861.7,1.008,0.047,-0.133,,
1861.8,0.996,0.078,-0.137,,
1861.9,0.98,0.105,-0.152,,
1862,0.969,0.113,-0.168,,
1862.1,0.973,0.102,-0.18,,
1862.2,0.98,0.09,-0.156,,
1862.3,0.965,0.09,-0.133,,
1862.4,0.945,0.094,-0.109,,
1862.5,0.949,0.133,-0.121,,
1862.6,0.965,0.23,-0.152,,
1862.7,0.98,0.105,-0.172,,
1862.8,0.988,-0.152,-0.137,,
1862.9,1.016,-0.113,-0.039,,
1863,1.043,-0.039,-0.012,,
1863.1,1.074,-0.043,-0.023,,
1863.2,1.07,0.004,-0.039,,
1863.3,1.035,0.098,-0.047,,
1863.4,1.008,0.031,-0.102,,
1863.5,0.992,0.031,-0.129,,
1863.6,0.992,0.133,-0.16,,
1863.7,0.977,0.129,-0.184,,
1863.8,0.977,0.047,-0.129,,
1863.9,0.973,0.004,-0.082,,
1864,0.949,0.117,-0.066,,
1864.1,0.941,0.094,-0.102,,
1864.2,0.953,0.043,-0.113,,
1864.3,0.977,0.086,-0.094,,
1864.4,0.992,0.113,-0.063,,
1864.5,1,0.113,-0.043,,
1864.6,0.996,0.102,-0.078,,
1864.7,0.98,0.078,-0.121,,
1864.8,0.996,0.043,-0.141,,
1864.9,1.047,0.055,-0.109,,
1865,1.016,0.055,-0.109,,
1865.1,0.953,0.148,-0.109,,
1865.2,0.926,0.219,-0.168,,
1865.3,0.941,0.176,-0.184,,
1865.4,0.992,0.152,-0.105,,
1865.5,1.035,0.152,-0.008,,
1865.6,1.082,0.125,0.051,,
1865.7,1.098,0.074,0.047,,
1865.8,1.086,0.063,0.02,,
1865.9,1.059,0.043,-0.02,,
1866,1.023,0.016,-0.063,,
1866.1,0.992,0.008,-0.094,,
1866.2,0.996,-0.086,-0.086,,
1866.3,1.016,-0.199,-0.18,,
1866.4,1,-0.031,-0.152,,
1866.5,0.957,0.148,-0.238,,
1866.6,0.93,0.078,-0.176,,
1866.7,0.957,-0.051,-0.273,,
1866.8,0.957,-0.164,-0.148,,
1866.9,1.031,-0.25,-0.16,,
1867,0.992,0.32,-0.07,,
1867.1,0.906,0.383,-0.098,,
1867.2,0.922,0.16,-0.188,,
1867.3,0.98,0.031,-0.121,,
1867.4,1.125,-0.48,-0.203,,
1867.5,1.031,0.125,-0.125,,
1867.6,0.977,0.391,-0.125,,
1867.7,0.988,0.449,-0.141,,
1867.8,0.988,0.313,-0.145,,
1867.9,1,0.09,-0.164,,
1868,0.996,-0.02,-0.195,,
1868.1,0.984,-0.059,-0.18,,
1868.2,0.969,0.031,-0.223,,
1868.3,0.879,0.434,-0.168,,
1868.4,0.82,0.438,-0.203,,
1868.5,0.809,0.363,-0.227,,
1868.6,0.84,0.453,-0.141,,
1868.7,0.859,0.438,-0.113,,
1868.8,0.883,0.332,-0.137,,
1868.9,0.918,0.242,-0.172,,
1869,0.945,0.195,-0.168,,
1869.1,0.957,0.191,-0.16,,
1869.2,0.965,0.18,-0.176,,
1869.3,0.961,0.18,-0.188,,
1869.4,0.953,0.211,-0.191,,
1869.5,0.953,0.238,-0.203,,
1869.6,0.941,0.242,-0.223,,
1869.7,0.938,0.168,-0.223,,
1869.8,0.934,0.156,-0.227,,
1869.9,0.934,0.191,-0.23,,
1870,0.93,0.18,-0.23,,
1870.1,0.934,0.09,-0.23,,
1870.2,0.938,0.07,-0.234,,
1870.3,0.949,0.043,-0.242,,
1870.4,0.957,0.02,-0.238,,
1870.5,0.988,-0.066,-0.238,,
1870.6,1.016,-0.113,-0.211,,
1870.7,1.047,-0.102,-0.195,,
1870.8,1.086,-0.125,-0.176,,
1870.9,1.105,-0.109,-0.152,,
1871,1.094,-0.074,-0.188,,
1871.1,1.063,-0.043,-0.234,,
1871.2,1.02,-0.004,-0.27,,
1871.3,0.965,0.035,-0.277,,
1871.4,0.922,0.078,-0.262,,
1871.5,0.895,0.105,-0.25,,
1871.6,0.883,0.129,-0.227,,
1871.7,0.875,0.152,-0.207,,
1871.8,0.887,0.168,-0.195,,
1871.9,0.902,0.18,-0.176,,
1872,0.922,0.191,-0.16,,
1872.1,0.941,0.199,-0.156,,
1872.2,0.953,0.195,-0.152,,
1872.3,0.969,0.191,-0.145,,
1872.4,0.98,0.172,-0.141,,
1872.5,0.988,0.141,-0.145,,
1872.6,1,0.117,-0.16,,
1872.7,1.012,0.094,-0.176,,
1872.8,1.02,0.082,-0.188,,
1872.9,1.023,0.07,-0.191,,
1873,1.016,0.059,-0.195,,
1873.1,1.008,0.059,-0.199,,
1873.2,0.988,0.059,-0.211,,
1873.3,0.973,0.059,-0.219,,
1873.4,0.965,0.07,-0.223,,
1873.5,0.961,0.074,-0.23,,
1873.6,0.953,0.082,-0.234,,
1873.7,0.957,0.078,-0.23,,
1873.8,0.965,0.078,-0.219,,
1873.9,0.965,0.074,-0.211,,
1874,0.965,0.07,-0.203,,
1874.1,0.969,0.074,-0.199,,
1874.2,0.969,0.074,-0.203,,
1874.3,0.973,0.074,-0.199,,
1874.4,0.969,0.082,-0.199,,
1874.5,0.973,0.09,-0.195,,
1874.6,0.98,0.09,-0.191,,
1874.7,0.98,0.094,-0.188,,
1874.8,0.977,0.094,-0.188,,
1874.9,0.98,0.098,-0.188,,
1875,0.984,0.098,-0.191,,
1875.1,0.98,0.094,-0.188,,
1875.2,0.973,0.094,-0.191,,
1875.3,0.973,0.102,-0.191,,
1875.4,0.98,0.113,-0.199,,
1875.5,0.977,0.113,-0.195,,
1875.6,0.977,0.117,-0.188,,
1875.7,0.98,0.113,-0.176,,
1875.8,0.977,0.109,-0.168,,
1875.9,0.973,0.109,-0.16,,
1876,0.977,0.098,-0.16,,
1876.1,0.988,0.094,-0.168,,
1876.2,0.988,0.082,-0.164,,
1876.3,0.984,0.082,-0.164,,
1876.4,0.969,0.082,-0.16,,
1876.5,0.961,0.09,-0.16,,
1876.6,0.961,0.078,-0.16,,
1876.7,0.941,0.043,-0.156,,
1876.8,0.938,0.059,-0.172,,
1876.9,0.949,0.055,-0.188,,
1877,0.973,0.07,-0.211,,
1877.1,0.988,0.066,-0.219,,
1877.2,1,0.07,-0.223,,
1877.3,0.992,0.035,-0.207,,
1877.4,0.949,0.008,-0.18,,
1877.5,0.984,0.023,-0.176,,
1877.6,0.984,0.008,-0.168,,
1877.7,1.02,0.035,-0.199,,
1877.8,1.031,0.039,-0.199,,
1877.9,1.016,0.063,-0.184,,
1878,1,0.074,-0.18,,
1878.1,0.996,0.078,-0.156,,
1878.2,0.977,0.086,-0.141,,
1878.3,0.98,0.086,-0.129,,
1878.4,0.984,0.129,-0.133,,
1878.5,1.004,0.105,-0.148,,
1878.6,1.004,0.117,-0.109,,
1878.7,0.973,0.109,-0.102,,
1878.8,0.938,0.078,-0.086,,
1878.9,0.973,0.086,-0.105,,
1879,1.031,0.129,-0.195,,
1879.1,0.953,0.086,-0.137,,
1879.2,0.934,0.129,-0.078,,
1879.3,0.996,0.117,-0.102,,
1879.4,1.074,0.121,-0.137,,
1879.5,1.098,0.129,-0.09,,
1879.6,1.07,0.121,-0.047,,
1879.7,1.02,0.121,-0.063,,
1879.8,0.98,0.109,-0.105,,
1879.9,0.863,0.066,-0.16,,
1880,0.82,0.074,-0.168,,
1880.1,0.883,0.078,-0.156,,
1880.2,0.961,0.063,-0.137,,
1880.3,1.008,0.055,-0.098,,
1880.4,1.035,0.055,-0.055,,
1880.5,1.008,0.031,-0.027,,
1880.6,0.859,-0.039,0.09,,
1880.7,0.773,-0.043,0.16,,
1880.8,1.465,0.184,-0.004,,
1880.9,1.605,0.102,0.219,,
1881,1.191,0.008,0.094,,
1881.1,1.203,0.234,-0.012,,
1881.2,1.078,0.125,-0.063,,
1881.3,0.762,0.078,-0.176,,
1881.4,0.555,0.031,-0.211,,
1881.5,0.598,-0.012,-0.223,,
