Timestamp,Axis1,Axis2,Axis3,,
2015.6,-0.902,-0.211,-0.043,,
2015.7,-0.969,-0.199,-0.039,,
2015.8,-0.973,-0.141,-0.039,,
2015.9,-0.934,-0.16,-0.059,,
2016,-0.914,-0.137,-0.07,,
2016.1,-0.91,-0.016,-0.082,,
2016.2,-0.895,-0.117,-0.105,,
2016.3,-0.988,-0.191,-0.148,,
2016.4,-1.047,-0.039,-0.152,,
2016.5,-1.027,-0.047,-0.172,,
2016.6,-1.035,-0.082,-0.195,,
2016.7,-1.055,-0.098,-0.215,,
2016.8,-1.078,-0.078,-0.188,,
2016.9,-1.117,-0.047,-0.188,,
2017,-1.129,-0.074,-0.172,,
2017.1,-1.121,-0.094,-0.215,,
2017.2,-1.098,-0.031,-0.223,,
2017.3,-1.086,0,-0.242,,
2017.4,-1.023,-0.074,-0.23,,
2017.5,-1.012,-0.039,-0.219,,
2017.6,-0.957,-0.035,-0.254,,
2017.7,-0.91,-0.109,-0.238,,
2017.8,-0.906,-0.094,-0.254,,
2017.9,-0.922,-0.094,-0.277,,
2018,-0.945,-0.113,-0.277,,
2018.1,-0.977,-0.137,-0.293,,
2018.2,-0.992,-0.109,-0.316,,
2018.3,-0.98,-0.102,-0.324,,
2018.4,-0.957,-0.098,-0.324,,
2018.5,-0.941,-0.102,-0.324,,
2018.6,-0.941,-0.098,-0.332,,
2018.7,-0.945,-0.094,-0.336,,
2018.8,-0.938,-0.102,-0.336,,
2018.9,-0.938,-0.121,-0.34,,
2019,-0.914,-0.133,-0.34,,
2019.1,-0.906,-0.141,-0.355,,
2019.2,-0.914,-0.137,-0.352,,
2019.3,-0.938,-0.133,-0.34,,
2019.4,-0.941,-0.121,-0.332,,
2019.5,-0.93,-0.109,-0.328,,
2019.6,-0.902,-0.098,-0.332,,
2019.7,-0.891,-0.078,-0.336,,
2019.8,-0.887,-0.066,-0.34,,
2019.9,-0.898,-0.047,-0.34,,
2020,-0.914,-0.016,-0.336,,
2020.1,-0.922,-0.008,-0.332,,
2020.2,-0.926,0.004,-0.32,,
2020.3,-0.926,0.012,-0.313,,
2020.4,-0.93,0,-0.305,,
2020.5,-0.938,-0.012,-0.301,,
2020.6,-0.926,-0.027,-0.293,,
2020.7,-0.93,-0.035,-0.289,,
2020.8,-0.93,-0.039,-0.285,,
2020.9,-0.93,-0.043,-0.281,,
2021,-0.934,-0.047,-0.277,,
2021.1,-0.93,-0.047,-0.285,,
2021.2,-0.918,-0.063,-0.289,,
2021.3,-0.922,-0.078,-0.285,,
2021.4,-0.934,-0.074,-0.281,,
2021.5,-0.941,-0.082,-0.281,,
2021.6,-0.957,-0.09,-0.273,,
2021.7,-0.969,-0.09,-0.273,,
2021.8,-0.98,-0.074,-0.27,,
2021.9,-0.977,-0.082,-0.266,,
2022,-0.977,-0.094,-0.262,,
2022.1,-0.984,-0.086,-0.262,,
2022.2,-0.992,-0.082,-0.266,,
2022.3,-0.988,-0.078,-0.27,,
2022.4,-0.992,-0.063,-0.273,,
2022.5,-0.984,-0.063,-0.281,,
2022.6,-0.977,-0.063,-0.273,,
2022.7,-0.973,-0.066,-0.273,,
2022.8,-0.973,-0.063,-0.273,,
2022.9,-0.973,-0.055,-0.281,,
2023,-0.969,0.031,-0.273,,
2023.1,-0.957,-0.047,-0.301,,
2023.2,-0.922,-0.109,-0.285,,
2023.3,-0.953,-0.066,-0.297,,
2023.4,-0.957,-0.063,-0.297,,
2023.5,-0.949,-0.07,-0.297,,
2023.6,-0.949,-0.066,-0.297,,
2023.7,-0.953,-0.074,-0.289,,
2023.8,-0.949,-0.078,-0.289,,
2023.9,-0.949,-0.082,-0.285,,
2024,-0.945,-0.09,-0.285,,
2024.1,-0.945,-0.09,-0.285,,
2024.2,-0.941,-0.09,-0.289,,
2024.3,-0.941,-0.125,-0.293,,
2024.4,-0.93,-0.063,-0.277,,
2024.5,-0.941,-0.078,-0.301,,
2024.6,-0.938,-0.125,-0.293,,
2024.7,-0.941,-0.113,-0.293,,
2024.8,-0.945,-0.098,-0.289,,
2024.9,-0.957,-0.094,-0.277,,
2025,-0.965,-0.094,-0.27,,
2025.1,-0.969,-0.094,-0.266,,
2025.2,-0.961,-0.098,-0.266,,
2025.3,-0.953,-0.098,-0.27,,
2025.4,-0.949,-0.094,-0.277,,
2025.5,-0.949,-0.094,-0.277,,
2025.6,-0.953,-0.086,-0.273,,
2025.7,-0.965,-0.09,-0.273,,
2025.8,-0.977,-0.094,-0.27,,
2025.9,-0.977,-0.09,-0.273,,
2026,-0.973,-0.09,-0.266,,
2026.1,-0.969,-0.082,-0.262,,
2026.2,-0.973,-0.09,-0.266,,
2026.3,-0.977,-0.098,-0.273,,
2026.4,-0.977,-0.094,-0.273,,
2026.5,-0.973,-0.098,-0.277,,
2026.6,-0.973,-0.102,-0.27,,
2026.7,-0.977,-0.102,-0.273,,
2026.8,-0.973,-0.094,-0.281,,
2026.9,-0.973,-0.082,-0.277,,
2027,-0.969,-0.113,-0.27,,
2027.1,-0.977,-0.109,-0.266,,
2027.2,-0.98,-0.078,-0.27,,
2027.3,-0.977,-0.117,-0.262,,
2027.4,-0.977,-0.113,-0.262,,
2027.5,-0.984,-0.105,-0.262,,
2027.6,-0.973,-0.105,-0.266,,
2027.7,-0.969,-0.102,-0.266,,
2027.8,-0.969,-0.105,-0.262,,
2027.9,-0.961,-0.117,-0.262,,
2028,-0.961,-0.121,-0.258,,
2028.1,-0.961,-0.121,-0.254,,
2028.2,-0.949,-0.113,-0.258,,
2028.3,-0.949,-0.105,-0.266,,
2028.4,-0.945,-0.105,-0.266,,
2028.5,-0.945,-0.098,-0.266,,
2028.6,-0.945,-0.094,-0.27,,
2028.7,-0.945,-0.105,-0.27,,
2028.8,-0.945,-0.102,-0.266,,
2028.9,-0.945,-0.098,-0.27,,
2029,-0.945,-0.102,-0.27,,
2029.1,-0.949,-0.102,-0.273,,
2029.2,-0.949,-0.105,-0.281,,
2029.3,-0.949,-0.102,-0.277,,
2029.4,-0.945,-0.102,-0.277,,
2029.5,-0.949,-0.102,-0.27,,
2029.6,-0.961,-0.105,-0.266,,
2029.7,-0.965,-0.098,-0.262,,
2029.8,-0.973,-0.094,-0.262,,
2029.9,-0.969,-0.094,-0.262,,
2030,-0.969,-0.094,-0.262,,
2030.1,-0.969,-0.098,-0.262,,
2030.2,-0.969,-0.098,-0.262,,
2030.3,-0.969,-0.098,-0.258,,
2030.4,-0.969,-0.105,-0.262,,
2030.5,-0.969,-0.102,-0.266,,
2030.6,-0.969,-0.105,-0.273,,
2030.7,-0.969,-0.102,-0.273,,
