,Timestamp,Axis1,Axis2,Axis3,SUM,FILTER
0,0 days 00:00:00.000000000,0.172,-0.039,-1.07,1.08373613025,1.08373613025
1,0 days 00:00:00.010000000,0.152,0.016,-0.965,0.976897640493,1.07305228127
2,0 days 00:00:00.020000000,0.031,-0.055,-0.926,0.926518753183,1.05839892846
3,0 days 00:00:00.030000000,-0.156,-0.051,-0.762,0.777804602712,1.03033949589
4,0 days 00:00:00.040000000,-0.262,0.059,-0.633,0.685078827581,0.995813429056
5,0 days 00:00:00.050000000,-0.285,0.203,-0.426,0.512543656677,0.947486451818
6,0 days 00:00:00.060000000,-0.188,0.348,0.082,0.205104851235,0.87324829176
7,0 days 00:00:00.070000000,0.012,0.617,0.645,0.645111618249,0.850434624409
8,0 days 00:00:00.080000000,0.262,0.945,1.105,1.13563594519,0.878954756487
9,0 days 00:00:00.090000000,0.32,1.211,1.047,1.09481002918,0.900540283756
10,0 days 00:00:00.100000000,0.117,1.469,0.711,0.720562280445,0.882542483425
11,0 days 00:00:00.110000000,-0.172,1.621,0.73,0.749989333257,0.869287168408
12,0 days 00:00:00.120000000,-0.391,1.707,0.652,0.76025324728,0.858383776296
13,0 days 00:00:00.130000000,-0.625,1.688,0.527,0.817529204371,0.854298319103
14,0 days 00:00:00.140000000,-0.918,1.637,0.598,1.09559481561,0.878427968754
15,0 days 00:00:00.150000000,-1.254,1.719,0.254,1.27946551341,0.91853172322
16,0 days 00:00:00.160000000,-1.391,1.656,0.258,1.41472435478,0.968150986375
17,0 days 00:00:00.170000000,-1.27,1.523,0.266,1.29755770585,1.00109165832
18,0 days 00:00:00.180000000,-1.148,1.316,0.195,1.16444364398,1.01742685689
19,0 days 00:00:00.190000000,-1.027,1.152,0.172,1.04130351003,1.0198145222
20,0 days 00:00:00.200000000,-0.887,1.086,0.094,0.891966927638,1.00702976275
21,0 days 00:00:00.210000000,-0.742,1.066,0.113,0.750555127889,0.98138229926
22,0 days 00:00:00.220000000,-0.563,1.055,0.184,0.592304820173,0.942474551351
23,0 days 00:00:00.230000000,-0.391,1.051,0.266,0.472902738415,0.895517370058
24,0 days 00:00:00.240000000,-0.246,1.031,0.34,0.419661768571,0.847931809909
25,0 days 00:00:00.250000000,-0.125,0.996,0.383,0.402882116754,0.803426840593
26,0 days 00:00:00.260000000,-0.039,0.953,0.41,0.411850701104,0.764269226644
27,0 days 00:00:00.270000000,0.023,0.898,0.457,0.457578408582,0.733600144838
28,0 days 00:00:00.280000000,0.047,0.859,0.461,0.463389684823,0.706579098837
29,0 days 00:00:00.290000000,0.047,0.82,0.445,0.447475138974,0.68066870285
30,0 days 00:00:00.300000000,0.039,0.789,0.422,0.423798301082,0.654981662674
31,0 days 00:00:00.310000000,0.023,0.77,0.41,0.410644615209,0.630547957927
32,0 days 00:00:00.320000000,0.012,0.766,0.379,0.379189926027,0.605412154737
