,Timestamp,Axis1,Axis2,Axis3,SUM,FILTER
0,0 days 00:00:00.000000000,-0.594,0.625,0.719,1.12268517404,1.12268517404
1,0 days 00:00:00.010000000,-1.008,0.746,0.664,1.41897004901,1.15231366153
2,0 days 00:00:00.020000000,-1.809,1.059,0.512,2.15780119566,1.25286241495
3,0 days 00:00:00.030000000,-2.41,1.402,0.801,2.90091451098,1.41766762455
4,0 days 00:00:00.040000000,-2.512,1.609,1.352,3.27519907792,1.60342076989
5,0 days 00:00:00.050000000,-2.309,1.586,1.383,3.12403040958,1.75548173386
6,0 days 00:00:00.060000000,-1.941,1.438,0.906,2.57995368175,1.83792892865
7,0 days 00:00:00.070000000,-1.563,1.324,0.461,2.09963473014,1.8640995088
8,0 days 00:00:00.080000000,-1.359,1.254,0.188,1.85869335825,1.86355889374
9,0 days 00:00:00.090000000,-1.297,1.121,0.063,1.71546466008,1.84874947038
10,0 days 00:00:00.100000000,-1.293,0.934,0.094,1.59782383259,1.8236569066
11,0 days 00:00:00.110000000,-1.285,0.738,0.223,1.49853194827,1.79114441076
12,0 days 00:00:00.120000000,-1.305,0.523,0.352,1.44929569102,1.75695953879
13,0 days 00:00:00.130000000,-1.336,0.297,0.422,1.43219726295,1.72448331121
14,0 days 00:00:00.140000000,-1.305,0.121,0.461,1.38931170009,1.69096615009
15,0 days 00:00:00.150000000,-1.195,0.02,0.469,1.28389485551,1.65025902064
16,0 days 00:00:00.160000000,-1.066,0.027,0.422,1.14680817925,1.5999139365
17,0 days 00:00:00.170000000,-0.945,0.121,0.398,1.03250665857,1.5431732087
18,0 days 00:00:00.180000000,-0.855,0.273,0.352,0.964084021235,1.48526428996
19,0 days 00:00:00.190000000,-0.699,0.52,0.336,0.933754250325,1.43011328599
20,0 days 00:00:00.200000000,-0.648,0.551,0.344,0.917518937134,1.37885385111
21,0 days 00:00:00.210000000,-0.73,0.492,0.32,0.936677105517,1.33463617655
22,0 days 00:00:00.220000000,-0.922,0.594,0.258,1.12671380572,1.31384393947
23,0 days 00:00:00.230000000,-1.113,0.66,0.184,1.30699081864,1.31315862738
24,0 days 00:00:00.240000000,-1.145,0.637,0.211,1.32714543287,1.31455730793
25,0 days 00:00:00.250000000,-1.016,0.563,0.215,1.18129166593,1.30123074373
26,0 days 00:00:00.260000000,-0.758,0.473,0.172,0.909877464277,1.26209541579
27,0 days 00:00:00.270000000,-0.508,0.375,0.152,0.649455926141,1.20083146682
28,0 days 00:00:00.280000000,-0.387,0.273,0.188,0.509550782553,1.1317033984
29,0 days 00:00:00.290000000,-0.402,0.203,0.234,0.507512561421,1.0692843147
30,0 days 00:00:00.300000000,-0.465,0.184,0.246,0.557312300241,1.01808711325
31,0 days 00:00:00.310000000,-0.535,0.211,0.242,0.623947113143,0.978673113241
32,0 days 00:00:00.320000000,-0.605,0.309,0.281,0.735164607418,0.954322262659
33,0 days 00:00:00.330000000,-0.703,0.445,0.352,0.903403564306,0.949230392824
34,0 days 00:00:00.340000000,-0.816,0.555,0.434,1.07807096241,0.962114449783
