,Timestamp,Axis1,Axis2,Axis3,SUM,FILTER
0,0 days 00:00:00.000000000,-2.352,0.875,0.484,2.55573570621,2.55573570621
1,0 days 00:00:00.010000000,-2.41,0.926,0.402,2.61288729187,2.56145086478
2,0 days 00:00:00.020000000,-2.32,0.988,0.32,2.54183870456,2.55948964875
3,0 days 00:00:00.030000000,-2.125,1.094,0.313,2.41048335402,2.54458901928
4,0 days 00:00:00.040000000,-1.848,1.23,0.398,2.25530663104,2.51566078046
5,0 days 00:00:00.050000000,-1.535,1.254,0.504,2.04517896527,2.46861259894
6,0 days 00:00:00.060000000,-1.234,1.16,0.617,1.80251074893,2.40200241394
7,0 days 00:00:00.070000000,-1.02,1.098,0.621,1.62223456997,2.32402562954
8,0 days 00:00:00.080000000,-0.824,1.02,0.523,1.41170287242,2.23279335383
9,0 days 00:00:00.090000000,-0.566,0.805,0.355,1.04613861414,2.11412787986
10,0 days 00:00:00.100000000,-0.199,0.543,0.137,0.594322303132,1.96214732219
11,0 days 00:00:00.110000000,0.188,0.344,-0.02,0.392530253611,1.80518561533
12,0 days 00:00:00.120000000,0.477,0.207,-0.07,0.52466941973,1.67713399577
13,0 days 00:00:00.130000000,0.625,0.082,-0.082,0.635667365845,1.57298733278
14,0 days 00:00:00.140000000,0.648,0.008,-0.066,0.651401565856,1.48082875608
15,0 days 00:00:00.150000000,0.551,0.023,-0.031,0.552350432244,1.3879809237
16,0 days 00:00:00.160000000,0.355,0.098,0.098,0.381094476475,1.28729227898
17,0 days 00:00:00.170000000,0.09,0.215,0.289,0.371276177528,1.19569066883
18,0 days 00:00:00.180000000,-0.238,0.293,0.383,0.537756450449,1.12989724699
19,0 days 00:00:00.190000000,-0.625,0.391,0.355,0.818248739687,1.09873239626
20,0 days 00:00:00.200000000,-0.941,0.398,0.176,1.03675503375,1.09253466001
21,0 days 00:00:00.210000000,-1.016,0.34,0.031,1.07182881096,1.09046407511
22,0 days 00:00:00.220000000,-0.895,0.23,-0.012,0.924158536183,1.07383352121
23,0 days 00:00:00.230000000,-0.738,0.152,-0.039,0.754499171636,1.04190008626
24,0 days 00:00:00.240000000,-0.605,0.078,-0.152,0.628659685362,1.00057604617
25,0 days 00:00:00.250000000,-0.449,-0.039,-0.262,0.521311806887,0.952649622239
