620.2,-0.301,0.398,-0.277,,
620.3,-0.211,0.445,-0.309,,
620.4,-0.164,0.52,-0.301,,
620.5,-0.148,0.617,-0.316,,
620.6,-0.129,0.691,-0.289,,
620.7,-0.117,0.727,-0.219,,
620.8,-0.117,0.738,-0.18,,
620.9,-0.117,0.719,-0.148,,START
621,-0.117,0.688,-0.129,,
621.1,-0.156,0.668,-0.133,,
621.2,-0.195,0.652,-0.176,,
621.3,-0.191,0.629,-0.18,,
621.4,-0.156,0.613,-0.156,,
621.5,-0.141,0.617,-0.191,,
621.6,-0.121,0.621,-0.234,,
621.7,-0.082,0.625,-0.258,,
621.8,-0.082,0.648,-0.234,,
621.9,-0.18,0.656,-0.188,,
622,-0.32,0.668,-0.176,,
622.1,-0.367,0.637,-0.125,,
622.2,-0.352,0.586,-0.066,,
622.3,-0.375,0.555,-0.105,,
622.4,-0.402,0.512,-0.172,,
622.5,-0.418,0.457,-0.168,,
622.6,-0.457,0.391,-0.113,,
622.7,-0.57,0.352,-0.121,,
622.8,-0.711,0.332,-0.18,,
622.9,-0.77,0.301,-0.191,,
623,-0.781,0.246,-0.23,,
623.1,-0.813,0.164,-0.289,,
623.2,-0.82,0.055,-0.262,,
623.3,-0.836,0.012,-0.246,,
623.4,-0.875,0.051,-0.273,,
623.5,-0.883,0.055,-0.227,,
623.6,-0.887,0.078,-0.164,,
623.7,-0.922,0.172,-0.168,,
623.8,-1.008,0.27,-0.191,,
623.9,-1.16,0.344,-0.203,,
624,-1.465,0.434,-0.266,,
624.1,-1.805,0.535,-0.238,,
624.2,-1.91,0.684,-0.078,,
624.3,-1.773,0.766,0.047,,
624.4,-1.582,0.797,-0.039,,
624.5,-1.508,0.855,-0.266,,
624.6,-1.465,0.949,-0.371,,
624.7,-1.336,1.008,-0.223,,
624.8,-1.27,1.039,-0.043,,
624.9,-1.375,1.02,0.008,,
625,-1.535,0.938,-0.043,,
625.1,-1.57,0.844,-0.086,,
625.2,-1.484,0.773,-0.125,,
625.3,-1.426,0.742,-0.215,,
625.4,-1.406,0.77,-0.246,,
625.5,-1.379,0.828,-0.195,,
625.6,-1.348,0.895,-0.145,,
625.7,-1.336,0.914,-0.113,,
625.8,-1.355,0.824,-0.086,,
625.9,-1.395,0.664,-0.09,,
626,-1.434,0.551,-0.141,,
626.1,-1.402,0.508,-0.199,,
626.2,-1.32,0.52,-0.25,,
626.3,-1.25,0.543,-0.289,,
626.4,-1.223,0.574,-0.258,,
626.5,-1.25,0.605,-0.176,,
626.6,-1.289,0.609,-0.09,,
626.7,-1.32,0.57,-0.012,,
626.8,-1.348,0.543,0,,
626.9,-1.355,0.535,-0.07,,
627,-1.301,0.523,-0.133,,
627.1,-1.227,0.527,-0.16,,
627.2,-1.148,0.547,-0.156,,
627.3,-1.086,0.559,-0.113,,
627.4,-1.035,0.547,-0.031,,
627.5,-1.043,0.516,0.027,,
627.6,-1.086,0.496,0.055,,
627.7,-1.094,0.453,0.07,,
627.8,-1.023,0.402,0.059,,
627.9,-0.875,0.336,0.027,,
628,-0.719,0.289,-0.016,,
628.1,-0.609,0.266,-0.023,,
628.2,-0.535,0.227,0.039,,
628.3,-0.547,0.219,0.086,,
628.4,-0.672,0.195,0.066,,
628.5,-0.801,0.176,0.016,,
628.6,-0.836,0.184,-0.012,,
628.7,-0.801,0.18,-0.047,,
628.8,-0.73,0.156,-0.09,,
628.9,-0.68,0.16,-0.164,,
629,-0.668,0.184,-0.242,,
629.1,-0.664,0.23,-0.25,,
629.2,-0.684,0.258,-0.223,,
629.3,-0.711,0.266,-0.195,,
629.4,-0.754,0.277,-0.199,,
629.5,-0.785,0.309,-0.223,,
629.6,-0.793,0.328,-0.234,,
629.7,-0.77,0.328,-0.203,,
629.8,-0.73,0.332,-0.203,,
629.9,-0.703,0.34,-0.23,,
630,-0.715,0.359,-0.297,,
630.1,-0.738,0.363,-0.367,,
630.2,-0.785,0.367,-0.434,,
630.3,-0.82,0.367,-0.457,,
630.4,-0.824,0.391,-0.406,,
630.5,-0.793,0.41,-0.309,,
630.6,-0.73,0.445,-0.242,,
630.7,-0.668,0.469,-0.246,,
630.8,-0.602,0.484,-0.277,,
630.9,-0.563,0.5,-0.328,,
631,-0.578,0.477,-0.371,,
631.1,-0.598,0.43,-0.344,,
631.2,-0.559,0.375,-0.293,,
631.3,-0.539,0.355,-0.25,,
