,Timestamp,Axis1,Axis2,Axis3,SUM,FILTER
0,0 days 00:00:00.000000000,-0.117,0.719,-0.148,0.743339760809,0.743339760809
1,0 days 00:00:00.010000000,-0.117,0.688,-0.129,0.709699936593,0.739975778388
2,0 days 00:00:00.020000000,-0.156,0.668,-0.133,0.698748166366,0.735853017185
3,0 days 00:00:00.030000000,-0.195,0.652,-0.176,0.702926027403,0.732560318207
4,0 days 00:00:00.040000000,-0.191,0.629,-0.18,0.681558508127,0.727460137199
5,0 days 00:00:00.050000000,-0.156,0.613,-0.156,0.651491366021,0.719863260081
6,0 days 00:00:00.060000000,-0.141,0.617,-0.191,0.661098328541,0.713986766927
7,0 days 00:00:00.070000000,-0.121,0.621,-0.234,0.674565045048,0.710044594739
8,0 days 00:00:00.080000000,-0.082,0.625,-0.258,0.681111591444,0.70715129441
9,0 days 00:00:00.090000000,-0.082,0.648,-0.234,0.69381842005,0.705818006974
10,0 days 00:00:00.100000000,-0.18,0.656,-0.188,0.705747830319,0.705810989308
11,0 days 00:00:00.110000000,-0.32,0.668,-0.176,0.761314652427,0.71136135562
12,0 days 00:00:00.120000000,-0.367,0.637,-0.125,0.74570972905,0.714796192963
13,0 days 00:00:00.130000000,-0.352,0.586,-0.066,0.686772160181,0.711993789685
14,0 days 00:00:00.140000000,-0.375,0.555,-0.105,0.677993362799,0.708593746996
15,0 days 00:00:00.150000000,-0.402,0.512,-0.172,0.673299339076,0.705064306204
16,0 days 00:00:00.160000000,-0.418,0.457,-0.168,0.6417141108,0.698729286664
17,0 days 00:00:00.170000000,-0.457,0.391,-0.113,0.61196323419,0.690052681417
18,0 days 00:00:00.180000000,-0.57,0.352,-0.121,0.680767948717,0.689124208147
19,0 days 00:00:00.190000000,-0.711,0.332,-0.18,0.805074530711,0.700719240403
20,0 days 00:00:00.200000000,-0.77,0.301,-0.191,0.848517530756,0.715499069438
21,0 days 00:00:00.210000000,-0.781,0.246,-0.23,0.850515725898,0.729000735084
22,0 days 00:00:00.220000000,-0.813,0.164,-0.289,0.878285830468,0.743929244623
23,0 days 00:00:00.230000000,-0.82,0.055,-0.262,0.862594342666,0.755795754427
24,0 days 00:00:00.240000000,-0.836,0.012,-0.246,0.87152510004,0.767368688988
25,0 days 00:00:00.250000000,-0.875,0.051,-0.273,0.918016884376,0.782433508527
26,0 days 00:00:00.260000000,-0.883,0.055,-0.227,0.913369038232,0.795527061498
27,0 days 00:00:00.270000000,-0.887,0.078,-0.164,0.905399911641,0.806514346512
28,0 days 00:00:00.280000000,-0.922,0.172,-0.168,0.952833668591,0.82114627872
29,0 days 00:00:00.290000000,-1.008,0.27,-0.191,1.06086992605,0.845118643453
30,0 days 00:00:00.300000000,-1.16,0.344,-0.203,1.2268435108,0.883291130188
31,0 days 00:00:00.310000000,-1.465,0.434,-0.266,1.55091489128,0.950053506297
32,0 days 00:00:00.320000000,-1.805,0.535,-0.238,1.89760217116,1.04480837278
33,0 days 00:00:00.330000000,-1.91,0.684,-0.078,2.03028076876,1.14335561238
34,0 days 00:00:00.340000000,-1.773,0.766,0.047,1.93196635581,1.22221668672
35,0 days 00:00:00.350000000,-1.582,0.797,-0.039,1.77185044516,1.27718006257
36,0 days 00:00:00.360000000,-1.508,0.855,-0.266,1.75380871249,1.32484292756
37,0 days 00:00:00.370000000,-1.465,0.949,-0.371,1.78450749508,1.37080938431
38,0 days 00:00:00.380000000,-1.336,1.008,-0.223,1.68839835347,1.40256828123
39,0 days 00:00:00.390000000,-1.27,1.039,-0.043,1.64142316299,1.4264537694
40,0 days 00:00:00.400000000,-1.375,1.02,0.008,1.71204234761,1.45501262722
41,0 days 00:00:00.410000000,-1.535,0.938,-0.043,1.79942157373,1.48945352187
42,0 days 00:00:00.420000000,-1.57,0.844,-0.086,1.78455372573,1.51896354226
43,0 days 00:00:00.430000000,-1.484,0.773,-0.125,1.6779183532,1.53485902335
44,0 days 00:00:00.440000000,-1.426,0.742,-0.215,1.62180917496,1.54355403851
45,0 days 00:00:00.450000000,-1.406,0.77,-0.246,1.62180516709,1.55137915137
46,0 days 00:00:00.460000000,-1.379,0.828,-0.195,1.62026232444,1.55826746868
47,0 days 00:00:00.470000000,-1.348,0.895,-0.145,1.62454732156,1.56489545397
48,0 days 00:00:00.480000000,-1.336,0.914,-0.113,1.62267094631,1.5706730032
49,0 days 00:00:00.490000000,-1.355,0.824,-0.086,1.58820559123,1.572426262
50,0 days 00:00:00.500000000,-1.395,0.664,-0.09,1.54758553883,1.56994218969
51,0 days 00:00:00.510000000,-1.434,0.551,-0.141,1.54267235666,1.56721520638
52,0 days 00:00:00.520000000,-1.402,0.508,-0.199,1.50441649818,1.56093533556
53,0 days 00:00:00.530000000,-1.32,0.52,-0.25,1.44059015685,1.54890081769
