,Timestamp,Axis1,Axis2,Axis3,SUM,FILTER
0,0 days 00:00:00.000000000,0.328,0.348,0.199,0.517966215114,0.517966215114
1,0 days 00:00:00.010000000,0.398,0.391,0.223,0.600844405816,0.526254034185
2,0 days 00:00:00.020000000,0.328,0.402,0.105,0.529351490033,0.526563779769
3,0 days 00:00:00.030000000,0.172,0.359,-0.047,0.400841614606,0.513991563253
4,0 days 00:00:00.040000000,0.027,0.258,-0.141,0.295252434368,0.492117650365
5,0 days 00:00:00.050000000,-0.066,0.176,-0.117,0.221406865296,0.465046571858
6,0 days 00:00:00.060000000,-0.121,0.129,-0.012,0.177273799531,0.436269294625
7,0 days 00:00:00.070000000,-0.133,0.086,0.055,0.167660370988,0.409408402261
8,0 days 00:00:00.080000000,-0.133,0.063,0.078,0.16655929875,0.38512349191
9,0 days 00:00:00.090000000,-0.16,0.09,0.051,0.190528213134,0.365663964033
10,0 days 00:00:00.100000000,-0.223,0.16,0.035,0.276683935204,0.35676596115
11,0 days 00:00:00.110000000,-0.301,0.273,0.039,0.408229102343,0.361912275269
12,0 days 00:00:00.120000000,-0.406,0.375,0.066,0.556612073171,0.381382255059
13,0 days 00:00:00.130000000,-0.527,0.395,0.086,0.664191237521,0.409663153305
14,0 days 00:00:00.140000000,-0.566,0.344,0.063,0.665327738787,0.435229611854
15,0 days 00:00:00.150000000,-0.535,0.289,0.043,0.609585925034,0.452665243172
16,0 days 00:00:00.160000000,-0.508,0.281,0.035,0.581592640944,0.465557982949
17,0 days 00:00:00.170000000,-0.473,0.359,0.039,0.595089068964,0.47851109155
18,0 days 00:00:00.180000000,-0.391,0.473,0.035,0.614682845051,0.4921282669
19,0 days 00:00:00.190000000,-0.332,0.563,0.047,0.655287723065,0.508444212517
20,0 days 00:00:00.200000000,-0.348,0.594,0.066,0.691589473604,0.526758738626
21,0 days 00:00:00.210000000,-0.43,0.566,0.07,0.71425205635,0.545508070398
22,0 days 00:00:00.220000000,-0.492,0.563,0.074,0.751338139588,0.566091077317
23,0 days 00:00:00.230000000,-0.527,0.594,0.094,0.799625537361,0.589444523321
24,0 days 00:00:00.240000000,-0.527,0.605,0.105,0.809184157037,0.611418486693
25,0 days 00:00:00.250000000,-0.504,0.629,0.098,0.811948890017,0.631471527025
26,0 days 00:00:00.260000000,-0.488,0.699,0.117,0.860484747105,0.654372849033
27,0 days 00:00:00.270000000,-0.52,0.738,0.16,0.916866402482,0.680622204378
28,0 days 00:00:00.280000000,-0.516,0.746,0.164,0.921774375864,0.704737421527
29,0 days 00:00:00.290000000,-0.457,0.719,0.152,0.865398174253,0.720803496799
