LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.861758,0.236658,0.123194,46007,2015-07-06 12:34:28:842
0.054038,-0.355211,0.913999,46508,2015-07-06 12:34:29:343
0.058828,0.936004,-1.350791,47008,2015-07-06 12:34:29:843
-0.761017,-0.987946,0.428259,47507,2015-07-06 12:34:30:342
0.659678,0.38934,-0.17783,48007,2015-07-06 12:34:30:842
0.204175,0.251627,1.266666,48508,2015-07-06 12:34:31:343
-0.614622,-0.649649,-1.406176,49007,2015-07-06 12:34:31:842
-0.765658,0.04341,-0.342787,49507,2015-07-06 12:34:32:342
-0.398471,-0.397573,0.087718,50006,2015-07-06 12:34:32:841
-0.520318,-0.239801,-0.621358,50507,2015-07-06 12:34:33:342
0.525557,2.279161,1.521436,51009,2015-07-06 12:34:33:844
-1.018332,0.027692,-0.196841,51507,2015-07-06 12:34:34:342
1.307381,-3.282075,0.462538,52007,2015-07-06 12:34:34:842
-0.881966,-0.260309,0.512684,52509,2015-07-06 12:34:35:344
0.401465,0.12993,0.484243,53007,2015-07-06 12:34:35:842
0.839155,-1.165776,0.058079,53507,2015-07-06 12:34:36:342
-0.73557,-0.095801,2.228416,54007,2015-07-06 12:34:36:842
-0.743204,0.160915,0.505649,54507,2015-07-06 12:34:37:342
0.755778,-0.247136,0.574805,55007,2015-07-06 12:34:37:842
0.518971,1.570085,0.35117,55510,2015-07-06 12:34:38:345
-0.936004,-0.385149,0.526156,56009,2015-07-06 12:34:38:844
-1.038391,-0.075593,0.088765,56507,2015-07-06 12:34:39:342
0.354613,-0.234113,0.670306,57007,2015-07-06 12:34:39:842
0.723146,-0.454754,0.739313,57511,2015-07-06 12:34:40:346
0.485141,0.520468,0.37991,58007,2015-07-06 12:34:40:842
-1.089434,-0.12963,0.552651,58507,2015-07-06 12:34:41:342
0.592169,-0.588426,-1.218766,59007,2015-07-06 12:34:41:842
1.006806,0.021555,-0.206271,59512,2015-07-06 12:34:42:347
1.016985,1.800157,0.826581,60007,2015-07-06 12:34:42:842
-0.407153,-0.387843,-0.246238,60507,2015-07-06 12:34:43:342
1.049767,-0.838107,-2.170636,61007,2015-07-06 12:34:43:842
1.064287,0.086071,0.326172,61508,2015-07-06 12:34:44:343
0.004491,-0.368833,0.114811,62007,2015-07-06 12:34:44:842
-2.037413,-0.06736,-1.509311,62507,2015-07-06 12:34:45:342
0.449216,1.102607,-0.830922,63012,2015-07-06 12:34:45:847
0.075593,-0.507145,0.145497,63507,2015-07-06 12:34:46:342
-0.900976,-0.214205,0.204774,64007,2015-07-06 12:34:46:842
-0.219593,-1.117576,-1.032553,64507,2015-07-06 12:34:47:342
-1.805396,-0.563428,0.051942,65007,2015-07-06 12:34:47:842
0.041913,-0.219444,0.411494,65507,2015-07-06 12:34:48:342
0.370031,-0.350272,0.441432,66008,2015-07-06 12:34:48:843
-0.639021,-0.744103,-1.624123,66506,2015-07-06 12:34:49:341
-0.033081,1.647324,0.316741,67007,2015-07-06 12:34:49:842
0.787662,-0.419278,-0.759221,67507,2015-07-06 12:34:50:342
2.97656,1.347648,-0.27902,68007,2015-07-06 12:34:50:842
-0.852926,-1.428479,-1.636696,68507,2015-07-06 12:34:51:342
-0.9857,-1.438658,-0.456251,69007,2015-07-06 12:34:51:842
0.253273,-0.282463,-1.183738,69507,2015-07-06 12:34:52:342
2.953508,1.519041,-0.436792,70007,2015-07-06 12:34:52:842
-1.537303,0.708926,-1.182691,70506,2015-07-06 12:34:53:341
-0.333057,-0.603545,-0.32677,71007,2015-07-06 12:34:53:842
-0.248633,0.51463,-0.489931,71507,2015-07-06 12:34:54:342
0.167352,-0.233365,0.030387,72007,2015-07-06 12:34:54:842
-0.411045,0.97642,-0.384101,72507,2015-07-06 12:34:55:342
-1.342708,-0.799338,-0.914299,73007,2015-07-06 12:34:55:842
0.453407,0.435894,0.063019,73507,2015-07-06 12:34:56:342
-0.096549,-0.275427,-0.041464,74007,2015-07-06 12:34:56:842
-0.389041,-0.550555,0.064965,74507,2015-07-06 12:34:57:342
0.546364,-0.253573,-1.612297,75007,2015-07-06 12:34:57:842
-1.079106,2.800227,-0.12963,75510,2015-07-06 12:34:58:345
0.116458,-0.305964,-0.405207,76010,2015-07-06 12:34:58:845
1.026116,0.332608,0.70234,76507,2015-07-06 12:34:59:342
0.122894,0.131876,-0.755928,77007,2015-07-06 12:34:59:842
-0.272284,-0.679287,0.829874,77506,2015-07-06 12:35:00:341
0.398022,0.028441,-0.850681,78007,2015-07-06 12:35:00:842
0.340841,-0.396675,0.294587,78507,2015-07-06 12:35:01:342
0.449366,-0.273781,-0.472268,79007,2015-07-06 12:35:01:842
-1.172661,-0.170196,-1.26472,79508,2015-07-06 12:35:02:343
0.001497,1.416205,1.385818,80007,2015-07-06 12:35:02:842
0.550705,-0.463885,0.164807,80507,2015-07-06 12:35:03:342
1.400787,0.45221,0.408501,81008,2015-07-06 12:35:03:843
-0.673599,-1.130898,-1.784439,81507,2015-07-06 12:35:04:342
-0.449665,1.835633,1.36591,82007,2015-07-06 12:35:04:842
0.077988,-0.137414,-0.65384,82507,2015-07-06 12:35:05:342
2.127376,0.402812,0.140857,83007,2015-07-06 12:35:05:842
