,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,SUM
61,-0.087119,-0.105531,0.282762,32007,2015-07-06 12:34:14:842,0.314135099545
62,0.091909,-0.102387,0.059277,32512,2015-07-06 12:34:15:347,0.149813633488
63,-0.074395,-0.18771,-0.082478,33007,2015-07-06 12:34:15:842,0.218110707231
64,-0.165107,-0.113165,-0.23082,33507,2015-07-06 12:34:16:342,0.305523339655
65,0.938399,-0.330064,-0.163909,34006,2015-07-06 12:34:16:841,1.00816719227
66,-0.001497,-0.111368,0.023351,34507,2015-07-06 12:34:17:342,0.113799567811
67,0.016915,-0.229922,-0.128882,35007,2015-07-06 12:34:17:842,0.26412272381
68,-0.116757,0.013921,-1.277443,35507,2015-07-06 12:34:18:342,1.28284317418
69,3.139871,5.322931,2.295776,36007,2015-07-06 12:34:18:842,6.59264527861
70,1.183439,-0.728535,0.694855,36507,2015-07-06 12:34:19:342,1.55374212274
71,0.194595,0.953966,-1.407972,37007,2015-07-06 12:34:19:842,1.71181292668
72,-0.536784,-0.397274,0.366887,37508,2015-07-06 12:34:20:343,0.761951287486
73,-0.545765,-0.099244,0.358055,38007,2015-07-06 12:34:20:842,0.660236465053
74,0.036674,0.195194,-1.051713,38507,2015-07-06 12:34:21:342,1.07030178654
75,0.558189,-0.599503,1.25499,39007,2015-07-06 12:34:21:842,1.49865896949
76,-0.445923,-0.268242,-0.55774,39507,2015-07-06 12:34:22:342,0.762807315181
77,0.737217,-0.426463,-1.246308,40007,2015-07-06 12:34:22:842,1.50951754754
78,1.686243,0.077988,-1.956132,40512,2015-07-06 12:34:23:347,2.58378597887
79,-0.347727,-0.584983,-1.129701,41007,2015-07-06 12:34:23:842,1.31884173661
80,0.512085,0.951721,0.476759,41507,2015-07-06 12:34:24:342,1.18122946676
81,-1.045426,0.241448,0.682281,42007,2015-07-06 12:34:24:842,1.27150305589
82,0.386646,-0.481848,0.141606,42507,2015-07-06 12:34:25:342,0.633817705382
83,0.319436,-1.203647,-0.849334,43007,2015-07-06 12:34:25:842,1.50737311315
84,-0.275128,0.363145,0.04326,43507,2015-07-06 12:34:26:342,0.457647391568
85,-0.467478,0.035027,0.933609,44007,2015-07-06 12:34:26:842,1.04469533171
86,0.938698,-0.002096,1.22161,44507,2015-07-06 12:34:27:342,1.54061329363
87,0.828976,-0.084724,-0.850531,45006,2015-07-06 12:34:27:841,1.19070665855
88,-0.716859,-0.215552,0.643961,45507,2015-07-06 12:34:28:342,0.987438737394
89,-0.861758,0.236658,0.123194,46007,2015-07-06 12:34:28:842,0.902114527742
90,0.054038,-0.355211,0.913999,46508,2015-07-06 12:34:29:343,0.982084075813
91,0.058828,0.936004,-1.350791,47008,2015-07-06 12:34:29:843,1.6444453616
92,-0.761017,-0.987946,0.428259,47507,2015-07-06 12:34:30:342,1.31855600726
93,0.659678,0.38934,-0.17783,48007,2015-07-06 12:34:30:842,0.786374089212
94,0.204175,0.251627,1.266666,48508,2015-07-06 12:34:31:343,1.30745796617
95,-0.614622,-0.649649,-1.406176,49007,2015-07-06 12:34:31:842,1.66647381289
96,-0.765658,0.04341,-0.342787,49507,2015-07-06 12:34:32:342,0.840011623987
