Timestamp,Axis1,Axis2,Axis3,,
469.6,0.328,0.672,0.23,,START
469.7,0.293,0.598,0.195,,
469.8,0.086,0.398,0.121,,
469.9,-0.148,0.059,0.043,,
470,-0.215,-0.199,0.074,,
470.1,-0.164,-0.297,0,,
470.2,-0.203,-0.375,-0.281,,
470.3,-0.113,-0.086,-0.332,,
470.4,0.141,0.113,-0.141,,
470.5,0.156,0.215,-0.109,,
470.6,0.039,0.457,-0.117,,
470.7,-0.16,0.457,-0.234,,
470.8,-0.301,0.195,-0.313,,
470.9,-0.266,0.121,-0.184,,
471,-0.258,0.133,-0.094,,
471.1,-0.273,0.145,-0.047,,
471.2,-0.285,0.105,0.016,,
471.3,-0.332,-0.008,0.105,,
471.4,-0.348,-0.145,0.117,,
471.5,-0.25,-0.301,0.012,,
471.6,-0.168,-0.324,0.055,,
471.7,-0.164,-0.258,0.055,,
471.8,-0.156,-0.148,0.023,,
471.9,-0.172,-0.039,0.02,,
472,-0.18,0,0.027,,
472.1,-0.188,-0.012,0.047,,
472.2,-0.211,-0.031,-0.012,,
472.3,-0.191,-0.063,-0.031,,
472.4,-0.16,-0.09,0.008,,
472.5,-0.203,-0.082,-0.023,,
472.6,-0.266,-0.063,-0.047,,
472.7,-0.242,-0.031,-0.02,,
472.8,-0.18,0,-0.023,,
472.9,-0.156,0.016,-0.027,,
473,-0.148,0.047,-0.031,,
473.1,-0.109,0.074,-0.039,,
473.2,-0.109,0.09,-0.031,,
473.3,-0.148,0.125,-0.035,,
473.4,-0.203,0.18,-0.004,,
473.5,-0.203,0.18,0.035,,
473.6,-0.152,0.152,0.039,,
473.7,-0.133,0.109,-0.012,,
473.8,-0.148,0.063,-0.07,,
473.9,-0.168,0.023,-0.074,,
474,-0.211,-0.012,-0.066,,
474.1,-0.32,-0.012,-0.051,,
474.2,-0.418,0.012,-0.039,,
474.3,-0.457,0.055,-0.027,,
474.4,-0.438,0.039,-0.008,,
474.5,-0.402,0.023,-0.008,,
474.6,-0.387,0.039,-0.059,,
474.7,-0.355,0.102,-0.031,,
474.8,-0.25,0.145,0.098,,
474.9,-0.125,0.215,0.117,,
475,-0.012,0.438,-0.039,,
475.1,-0.066,0.832,-0.102,,
475.2,-0.496,1.742,0.492,,
475.3,-2.652,3.023,1.277,,
475.4,-4.887,3.371,1.359,,
475.5,-3.891,2.281,0.406,,
475.6,-2.43,2.574,0.262,,
475.7,-2.617,3.195,0.625,,
475.8,-2.531,2.516,0.645,,
475.9,-2.055,1.594,0.465,,
476,-1.922,1.031,0.32,,
476.1,-2.031,0.891,0.324,,
476.2,-2.125,0.785,0.262,,
476.3,-2.039,0.734,0.105,,
476.4,-1.859,0.684,-0.047,,
476.5,-1.656,0.555,-0.121,,
476.6,-1.406,0.441,-0.129,,
476.7,-1.148,0.414,-0.047,,
476.8,-1.027,0.449,0.078,,
476.9,-1.117,0.57,0.172,,
477,-1.207,0.613,0.223,,
477.1,-1.18,0.598,0.254,,
477.2,-1.09,0.477,0.203,,
477.3,-1.012,0.332,0.109,,
477.4,-0.945,0.223,0.043,,
477.5,-0.875,0.145,-0.02,,
477.6,-0.816,0.102,-0.047,,
477.7,-0.82,0.09,-0.047,,
477.8,-0.816,0.078,-0.02,,
477.9,-0.793,0.07,0.023,,
478,-0.805,0.078,0.063,,
478.1,-0.859,0.121,0.09,,
478.2,-0.922,0.195,0.117,,
478.3,-0.953,0.266,0.148,,
478.4,-0.957,0.32,0.188,,
478.5,-0.938,0.344,0.211,,
478.6,-0.914,0.328,0.191,,
478.7,-0.883,0.313,0.141,,
478.8,-0.836,0.293,0.102,,
478.9,-0.828,0.281,0.07,,
479,-0.84,0.273,0.074,,
479.1,-0.84,0.273,0.109,,
479.2,-0.84,0.281,0.133,,
479.3,-0.848,0.285,0.16,,
479.4,-0.875,0.297,0.18,,
